ranking_date;rank;player;points
20240101;1;104925;11245
20240101;2;207989;8855
20240101;3;106421;7600
20240101;4;206173;6490
20240101;5;126094;4805
20240101;6;126774;4235
20240101;7;100644;3985
20240101;8;208029;3660
20240101;9;128034;3245
20240101;10;126203;3100
20240101;11;134770;2825
20240101;12;200282;2740
20240101;13;126205;2665
20240101;14;105777;2570
20240101;15;111575;2520
20240101;16;126207;2310
20240101;17;210097;2145
20240101;18;111815;1940
20240101;19;111797;1810
20240101;20;200005;1765
20240101;21;202103;1760
20240101;22;105173;1755
20240101;23;134868;1640
20240101;24;200624;1530
20240101;25;105526;1522
20240101;26;200221;1495
20240101;27;207518;1470
20240101;28;202104;1435
20240101;29;200000;1425
20240101;30;144869;1375
20240101;31;208103;1372
20240101;32;122330;1369
20240101;33;111513;1285
20240101;34;111153;1235
20240101;35;106234;1193
20240101;36;209950;1158
20240101;37;106432;1135
20240101;38;105554;1131
20240101;39;126128;1122
20240101;40;200615;1084
20240101;41;111456;1055
20240101;42;104918;1050
20240101;43;124116;1048
20240101;44;208286;1021
20240101;45;126845;1012
20240101;46;132283;990
20240101;47;106415;955
20240101;48;207686;947
20240101;49;104527;942
20240101;50;122298;930
20240101;51;105870;914
20240101;52;105583;914
20240101;53;200670;910
20240101;54;200175;905
20240101;55;111442;902
20240101;56;127157;891
20240101;57;105138;886
20240101;58;111190;885
20240101;59;105916;882
20240101;60;106218;860
20240101;61;207733;856
20240101;62;126846;835
20240101;63;106148;816
20240101;64;206681;805
20240101;65;106423;802
20240101;66;132686;799
20240101;67;200303;791
20240101;68;106331;780
20240101;69;200325;771
20240101;70;106398;763
20240101;71;208014;744
20240101;72;127339;744
20240101;73;126127;738
20240101;74;104792;737
20240101;75;106121;737
20240101;76;104755;735
20240101;77;136440;733
20240101;78;207830;722
20240101;79;205734;718
20240101;80;126523;715
20240101;81;124186;714
20240101;82;106426;709
20240101;83;122669;709
20240101;84;106296;708
20240101;85;126214;707
20240101;86;144719;706
20240101;87;106005;699
20240101;88;105948;694
20240101;89;105077;688
20240101;90;209414;687
20240101;91;109739;683
20240101;92;126610;682
20240101;93;123755;676
20240101;94;208502;673
20240101;95;207680;668
20240101;96;126239;656
20240101;97;210506;653
20240101;98;106233;652
20240101;99;133297;646
20240101;100;111460;640
